Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,15/01/2025,08:08,15/01/2025,13:32,05:24,"WP11, WP22, WP10"
102,15/01/2025,09:10,15/01/2025,09:58,00:48,WP12
103,15/01/2025,20:22,15/01/2025,20:58,00:36,WP7
104,15/01/2025,00:49,15/01/2025,02:01,01:12,WP9
105,15/01/2025,10:00,16/01/2025,00:24,14:24,"WP17, WP21, WP3, WP1, WP8, WP8, WP24"
106,15/01/2025,09:29,15/01/2025,22:05,12:36,"WP3, WP18, WP17, WP22, WP3, WP4, WP8, WP15, WP7"
107,15/01/2025,20:39,16/01/2025,02:03,05:24,"WP8, WP21"
108,15/01/2025,01:20,15/01/2025,07:20,06:00,WP20
109,15/01/2025,06:28,15/01/2025,08:16,01:48,"WP10, WP7"
110,15/01/2025,00:19,15/01/2025,10:19,10:00,"WP22, WP14, WP15, WP22"
111,15/01/2025,07:27,15/01/2025,13:15,05:48,"WP18, WP6, WP22"
112,15/01/2025,02:28,15/01/2025,07:16,04:48,WP24
113,15/01/2025,16:09,16/01/2025,04:57,12:48,"WP21, WP12, WP23, WP8, WP11"
114,15/01/2025,10:04,15/01/2025,13:04,03:00,"WP1, WP6, WP16"
115,15/01/2025,05:52,15/01/2025,07:04,01:12,WP13
116,15/01/2025,03:09,15/01/2025,03:57,00:48,WP5
117,15/01/2025,09:13,15/01/2025,11:13,02:00,"WP2, WP3"
118,15/01/2025,08:23,15/01/2025,14:23,06:00,WP23
119,15/01/2025,12:53,15/01/2025,19:29,06:36,"WP14, WP4, WP24"
120,15/01/2025,00:26,15/01/2025,08:14,07:48,"WP19, WP11"
