Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,18/02/2025,21:39,18/02/2025,22:27,00:48,WP1
102,18/02/2025,12:32,18/02/2025,14:08,01:36,"WP2, WP1"
103,18/02/2025,14:54,18/02/2025,17:54,03:00,"WP13, WP6, WP3"
104,18/02/2025,15:47,18/02/2025,20:11,04:24,"WP12, WP22"
105,18/02/2025,12:08,18/02/2025,16:08,04:00,"WP11, WP16, WP8, WP10"
106,18/02/2025,03:44,18/02/2025,04:20,00:36,WP6
107,18/02/2025,06:50,18/02/2025,08:50,02:00,"WP10, WP5"
108,18/02/2025,01:31,18/02/2025,07:31,06:00,WP20
109,18/02/2025,16:45,18/02/2025,22:09,05:24,"WP15, WP4, WP10, WP12, WP7, WP7"
110,18/02/2025,20:14,19/02/2025,01:02,04:48,"WP22, WP3"
111,18/02/2025,14:10,18/02/2025,17:10,03:00,"WP3, WP3, WP8"
112,18/02/2025,04:56,18/02/2025,13:44,08:48,"WP9, WP9, WP21, WP18"
113,18/02/2025,04:36,18/02/2025,05:24,00:48,WP5
114,18/02/2025,08:58,18/02/2025,16:46,07:48,"WP4, WP19"
115,18/02/2025,06:24,18/02/2025,15:36,09:12,"WP16, WP18, WP23"
116,18/02/2025,06:04,18/02/2025,08:52,02:48,"WP8, WP11, WP16"
117,18/02/2025,15:58,18/02/2025,23:10,07:12,WP19
118,18/02/2025,19:05,18/02/2025,20:53,01:48,"WP14, WP8"
119,18/02/2025,19:40,19/02/2025,11:16,15:36,"WP17, WP23, WP18, WP1, WP24, WP12"
120,18/02/2025,06:31,18/02/2025,08:43,02:12,"WP18, WP11"
